epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,122.135,0.96505,0.67559,1.20041,0.97973,0.93078,0.98067,0.71228,0.99733,0.60472,1.16999,0.000539275,0.000539275,0.000539275
43,125.4,1.00706,0.68371,1.18295,0.99605,0.9509,0.98345,0.74577,0.89416,0.53274,1.08075,0.000511769,0.000511769,0.000511769
44,128.044,0.9448,0.65607,1.20344,0.99484,0.96809,0.9865,0.75572,0.88882,0.47971,1.09197,0.000484263,0.000484263,0.000484263
45,130.669,0.91086,0.59396,1.15523,0.99346,0.97872,0.9852,0.74801,0.90193,0.48057,1.10695,0.000456758,0.000456758,0.000456758
46,133.258,0.89912,0.6042,1.17445,0.99759,0.97803,0.97789,0.73938,0.90504,0.4924,1.10575,0.000429253,0.000429253,0.000429253
47,136.187,0.92066,0.60191,1.17661,0.99559,0.97872,0.97928,0.75139,0.89435,0.50536,1.09846,0.000401747,0.000401747,0.000401747
48,139.277,0.94127,0.60634,1.18326,0.98543,0.97872,0.97775,0.7546,0.86163,0.50614,1.09564,0.000374242,0.000374242,0.000374242
49,141.75,0.90452,0.6104,1.16675,0.9906,0.97872,0.97938,0.77745,0.84159,0.49254,1.09043,0.000346736,0.000346736,0.000346736
50,144.399,0.8956,0.59465,1.16198,0.97335,0.97872,0.97725,0.77909,0.82354,0.46364,1.0739,0.000319231,0.000319231,0.000319231
51,149.209,0.88248,0.58929,1.19128,1,0.97395,0.97783,0.7821,0.82138,0.46109,1.06165,0.000291725,0.000291725,0.000291725
52,152.511,0.85386,0.50817,1.12686,0.98462,0.97079,0.97759,0.78016,0.82879,0.47832,1.05576,0.00026422,0.00026422,0.00026422
53,154.983,0.83968,0.48251,1.15011,0.98225,0.95871,0.9773,0.78746,0.78684,0.48108,1.03447,0.000236714,0.000236714,0.000236714
54,157.654,0.82209,0.4804,1.11365,0.96795,0.97872,0.97518,0.78851,0.74563,0.46524,1.01817,0.000209209,0.000209209,0.000209209
55,160.258,0.79896,0.48598,1.1367,0.96738,0.97469,0.97479,0.78081,0.75084,0.46849,1.02399,0.000181703,0.000181703,0.000181703
56,163.49,0.79774,0.47453,1.11187,0.96983,0.97789,0.97869,0.78594,0.75119,0.45398,1.02833,0.000154198,0.000154198,0.000154198
57,166.204,0.73315,0.44508,1.0981,0.96599,0.97218,0.97916,0.78462,0.75442,0.45342,1.02851,0.000126692,0.000126692,0.000126692
58,168.793,0.76577,0.43452,1.08984,0.99399,0.96809,0.98117,0.7947,0.74374,0.43234,1.01886,9.91865e-05,9.91865e-05,9.91865e-05
59,171.43,0.78105,0.42706,1.08635,0.99275,0.96809,0.98209,0.8048,0.7272,0.41944,1.00969,7.1681e-05,7.1681e-05,7.1681e-05
60,174.09,0.75574,0.44043,1.11632,0.99426,0.97079,0.9827,0.81068,0.71316,0.41473,1.00219,4.41755e-05,4.41755e-05,4.41755e-05
